group,title,dayGanzhi,ju,expectedGanShang,gotGanShang,expectedKindGroup,gotKind,skipKind,error
"伏吟","丙戌日第一局","丙戌","1","辰","巳","伏吟","别责课","true",
"伏吟","戊申日第一局","戊申","1","辰","巳","伏吟","别责课","true",
"元首","庚午日第三局","庚午","3","午","午","元首","涉害课","false",
"元首","壬申日第四局","壬申","4","申","申","元首","涉害课","false",
"元首","癸酉日第五局","癸酉","5","酉","酉","元首","涉害课","false",
"元首","戊戌日第八局","戊戌","8","戌","戌","元首","比用课","false",
"元首","庚子日第九局","庚子","9","子","子","元首","涉害课","false",
"元首","庚戌日第三局","庚戌","3","午","午","元首","涉害课","false",
"元首","壬子日第二局","壬子","2","戌","戌","元首","涉害课","false",
"元首","癸丑日第五局","癸丑","5","酉","酉","元首","涉害课","false",
"元首","甲寅日第三局","甲寅","3","子","子","元首","涉害课","false",
"元首","甲寅日第六局","甲寅","6","酉","酉","元首","涉害课","false",
"元首","己未日第五局","己未","5","卯","卯","元首","涉害课","false",
"元首","庚申日第三局","庚申","3","午","午","元首","涉害课","false",
"元首","庚申日第四局","庚申","4","巳","巳","元首","涉害课","false",
"元首","庚申日第九局","庚申","9","子","子","元首","涉害课","false",
"八专","丁未日第二局","丁未","2","午","午","八专","别责课","false",
"八专","丁未日第三局","丁未","3","巳","巳","八专","别责课","false",
"八专","丁未日第四局","丁未","4","辰","辰","八专","别责课","false",
"八专","丁未日第七局","丁未","7","丑","丑","八专","别责课","false",
"八专","丁未日第十局","丁未","10","戌","戌","八专","别责课","false",
"八专","甲寅日第六局","甲寅","6","酉","酉","八专","涉害课","false",
"八专","己未日第二局","己未","2","午","午","八专","别责课","false",
"八专","己未日第四局","己未","4","辰","辰","八专","别责课","false",
"八专","己未日第七局","己未","7","丑","丑","八专","别责课","false",
"八专","己未日第十局","己未","10","戌","戌","八专","别责课","false",
"八专","己未日第十二局","己未","12","申","申","八专","别责课","false",
"八专","庚申日第十二局","庚申","12","酉","酉","八专","别责课","false",
"别责","戊寅日第十二局","戊寅","12","午","午","别责","重审课","false",
"反吟","甲午日第七局","甲午","7","寅","申","反吟","涉害课","true",
"比用","甲子日第三局","甲子","3","子","子","比用","涉害课","false",
"比用","己卯日第九局","己卯","9","亥","亥","比用","涉害课","false",
"涉害","己巳日第六局","己巳","6","寅","寅","涉害","比用课","false",
"涉害","辛未日第六局","辛未","6","巳","巳","涉害","比用课","false",
"涉害","辛未日第八局","辛未","8","卯","卯","涉害","比用课","false",
"涉害","壬申日第六局","壬申","6","午","午","涉害","比用课","false",
"涉害","丙子日第六局","丙子","6","子","子","涉害","比用课","false",
"涉害","庚辰日第六局","庚辰","6","卯","卯","涉害","比用课","false",
"涉害","辛巳日第六局","辛巳","6","巳","巳","涉害","比用课","false",
"涉害","辛卯日第三局","辛卯","3","申","申","涉害","比用课","false",
"涉害","辛卯日第九局","辛卯","9","寅","寅","涉害","比用课","false",
"涉害","甲午日第七局","甲午","7","寅","申","涉害","涉害课","false",
"涉害","丁酉日第八局","丁酉","8","子","子","涉害","比用课","false",
"涉害","甲辰日第八局","甲辰","8","未","未","涉害","比用课","false",
"涉害","戊申日第六局","戊申","6","子","子","涉害","比用课","false",
"涉害","己酉日第八局","己酉","8","子","子","涉害","比用课","false",
"涉害","辛亥日第五局","辛亥","5","午","午","涉害","比用课","false",
"涉害","乙卯日第九局","乙卯","9","申","申","涉害","比用课","false",
"涉害","丁巳日第六局","丁巳","6","寅","寅","涉害","比用课","false",
"涉害","壬戌日第八局","壬戌","8","辰","辰","涉害","比用课","false",
"重审","甲子日第十一局","甲子","11","辰","辰","重审","涉害课","false",
"重审","丙寅日第十局","丙寅","10","申","申","重审","涉害课","false",
"重审","丁卯日第九局","丁卯","9","亥","亥","重审","涉害课","false",
"重审","戊寅日第八局","戊寅","8","戌","戌","重审","比用课","false",
"重审","乙亥日第六局","乙亥","6","亥","亥","重审","涉害课","false",
"重审","庚辰日第五局","庚辰","5","辰","辰","重审","涉害课","false",
"重审","甲午日第五局","甲午","5","戌","戌","重审","涉害课","false",
"重审","乙巳日第曰局","乙巳","10","丑","未","重审","比用课","false",
"重审","庚戌日第十一局","庚戌","11","戌","戌","重审","涉害课","false",
"重审","癸丑日第六局","癸丑","6","申","申","重审","涉害课","false",
"重审","甲寅日第五局","甲寅","5","戌","戌","重审","涉害课","false",
"重审","甲寅日第十局","甲寅","10","巳","巳","重审","涉害课","false",
"重审","甲寅日第十一局","甲寅","11","辰","辰","重审","涉害课","false",
"重审","甲寅日第十二局","甲寅","12","卯","卯","重审","涉害课","false",
"重审","己未日第九局","己未","9","亥","亥","重审","涉害课","false",
"重审","庚申日第五局","庚申","5","辰","辰","重审","涉害课","false",
"重审","庚申日第十一局","庚申","11","戌","戌","重审","涉害课","false",
